= World Cup 2026     # 48 Teams


== Czech Republic     # 26 Players
  23, Jens CASTROP                     DF,  b. 2003/07/29

   3, Lee GI-HYUK                      MF,  b. 2000/07/07
   6, Hwang IN-BEOM                    MF,  b. 1996/09/20
   8, Paik SEUNG-HO                    MF,  b. 1997/03/17
  10, Lee JAE-SUNG                     MF,  b. 1992/08/10
  11, Hwang HEE-CHAN                   MF,  b. 1996/01/26
  17, Bae JUN-HO                       MF,  b. 2003/08/21
  19, Lee KANG-IN                      MF,  b. 2001/02/19
  20, Yang HYUN-JUN                    MF,  b. 2002/05/25
  24, Kim JIN-GYU                      MF,  b. 1997/02/24
  25, Eom JI-SUNG                      MF,  b. 2002/05/09
  26, Lee DONG-GYEONG                  MF,  b. 1997/09/20

   7, Son HEUNG-MIN                    FW,  b. 1992/07/08
   9, Cho GUE-SUNG                     FW,  b. 1998/01/25
  18, Oh HYEON-GYU                     FW,  b. 2001/04/12


== Bosnia and Herzegovina     # 26 Players

   1, Nikola VASILJ                    GK,  b. 1995/12/02
  12, Mladen JURKAS                    GK,  b. 2007/10/07
  22, Martin ZLOMISLIĆ                 GK,  b. 1998/08/16

   2, Nihad MUJAKIĆ                    DF,  b. 1998/04/15
   3, Dennis HADŽIKADUNIĆ              DF,  b. 1998/07/09
   4, Tarik MUHAREMOVIĆ                DF,  b. 2003/02/28
   5, Sead KOLAŠINAC                   DF,  b. 1993/06/20
   7, Amar DEDIĆ                       DF,  b. 2002/08/18
  18, Nikola KATIĆ                     DF,  b. 1996/10/10
  21, Stjepan RADELJIĆ                 DF,  b. 1997/09/05
  24, Nidal ČELIK                      DF,  b. 2006/07/17

   6, Benjamin TAHIROVIĆ               MF,  b. 2003/03/03
   8, Armin GIGOVIĆ                    MF,  b. 2002/04/06
  13, Ivan BAŠIĆ                       MF,  b. 2002/04/30
  14, Ivan ŠUNJIĆ                      MF,  b. 1996/10/09
  15, Amar MEMIĆ                       MF,  b. 2001/01/20
  16, Amir HADŽIAHMETOVIĆ              MF,  b. 1997/03/08
  17, Dženis BURNIĆ                    MF,  b. 1998/05/22
  26, Ermin MAHMIĆ                     MF,  b. 2005/03/14

   9, Samed BAŽDAR                     FW,  b. 2004/01/31
  10, Ermedin DEMIROVIĆ                FW,  b. 1998/03/25
  11, Edin DŽEKO                       FW,  b. 1986/03/17
  19, Kerim ALAJBEGOVIĆ                FW,  b. 2007/09/21
  20, Esmir BAJRAKTAREVIĆ              FW,  b. 2005/03/10
  23, Haris TABAKOVIĆ                  FW,  b. 1994/06/20
  25, Jovo LUKIĆ                       FW,  b. 1998/11/28


== Canada     # 26 Players

   1, Dayne ST. CLAIR                  GK,  b. 1997/05/09
  16, Maxime CRÉPEAU                   GK,  b. 1994/05/11
  18, Owen GOODMAN                     GK,  b. 2003/11/27

   2, Alistair JOHNSTON                DF,  b. 1998/10/08
   3, Alfie JONES                      DF,  b. 1997/10/07
   4, Luc de FOUGEROLLES               DF,  b. 2005/10/12
   5, Joel WATERMAN                    DF,  b. 1996/01/24
  13, Derek CORNELIUS                  DF,  b. 1997/11/25
  15, Moïse BOMBITO                    DF,  b. 2000/03/30
  19, Alphonso DAVIES                  DF,  b. 2000/11/02
  22, Richie LARYEA                    DF,  b. 1995/01/07
  23, Niko SIGUR                       DF,  b. 2003/09/09

   6, Mathieu CHOINIÈRE                MF,  b. 1999/02/07
   7, Stephen EUSTÁQUIO                MF,  b. 1996/12/21
   8, Ismaël KONÉ                      MF,  b. 2002/06/16
  11, Liam MILLAR                      MF,  b. 1999/09/27
  14, Jacob SHAFFELBURG                MF,  b. 1999/11/26
  21, Jonathan OSORIO                  MF,  b. 1992/06/12
  25, Nathan SALIBA                    MF,  b. 2004/02/07
  26, Jayden NELSON                    MF,  b. 2002/02/07

   9, Cyle LARIN                       FW,  b. 1995/04/17
  10, Jonathan DAVID                   FW,  b. 2000/01/14
  12, Tani OLUWASEYI                   FW,  b. 2000/05/15
  17, Tajon BUCHANAN                   FW,  b. 1999/02/08
  20, Ali AHMED                        FW,  b. 2000/10/10
  24, Promise DAVID                    FW,  b. 2001/07/03


== Qatar     # 26 Players

   1, Mahmud ABUNADA                   GK,  b. 2000/02/05
  21, Salah ZAKARIA                    GK,  b. 1999/04/24
  22, Meshaal BARSHAM                  GK,  b. 1998/02/14

   2, PEDRO MIGUEL                     DF,  b. 1990/08/06
   3, Lucas MENDES                     DF,  b. 1990/07/03
   4, Issa LAYE                        DF,  b. 1997/12/22
   5, Jassem GABER                     DF,  b. 2002/02/20
  13, Ayoub AL-OUI                     DF,  b. 2005/03/11
  14, Homam AHMED                      DF,  b. 1999/08/25
  16, Boualem KHOUKHI                  DF,  b. 1990/07/09
  18, Sultan AL-BRAKE                  DF,  b. 1996/04/07
  25, Al-Hashmi AL-HUSSAIN             DF,  b. 2003/08/15

   6, Abdulaziz HATEM                  MF,  b. 1990/01/01
  12, Karim BOUDIAF                    MF,  b. 1990/09/16
  17, Ahmed AL-GANEHI                  MF,  b. 2000/09/22
  20, Ahmed FATHY                      MF,  b. 1993/01/25
  23, Assim MADIBO                     MF,  b. 1996/10/22

   7, Ahmed ALAAELDIN                  FW,  b. 1993/01/31
   8, EDMILSON JUNIOR                  FW,  b. 1994/08/19
   9, Mohammed MUNTARI                 FW,  b. 1993/12/20
  10, Hassan AL-HAYDOS                 FW,  b. 1990/12/11
  11, Akram AFIF                       FW,  b. 1996/11/18
  15, Yusuf ABDURISAG                  FW,  b. 1999/08/06
  19, Almoez ALI                       FW,  b. 1996/08/19
  24, Tahsin JAMSHID                   FW,  b. 2006/06/16
  26, Mohamed MANAI                    FW,  b. 2002/10/25


== Switzerland     # 26 Players

   1, Gregor KOBEL                     GK,  b. 1997/12/06
  12, Yvon MVOGO                       GK,  b. 1994/06/06
  21, Marvin KELLER                    GK,  b. 2002/07/03

   2, Miro MUHEIM                      DF,  b. 1998/03/24
   3, Silvan WIDMER                    DF,  b. 1993/03/05
   4, Nico ELVEDI                      DF,  b. 1996/09/30
   5, Manuel AKANJI                    DF,  b. 1995/07/19
  13, Ricardo RODRIGUEZ                DF,  b. 1992/08/25
  18, Eray CÖMERT                      DF,  b. 1998/02/04
  24, Aurèle AMENDA                    DF,  b. 2003/07/31
  25, Luca JAQUEZ                      DF,  b. 2003/06/02

   6, Denis ZAKARIA                    MF,  b. 1996/11/20
   8, Remo FREULER                     MF,  b. 1992/04/15
   9, Johan MANZAMBI                   MF,  b. 2005/10/14
  10, Granit XHAKA                     MF,  b. 1992/09/27
  14, Ardon JASHARI                    MF,  b. 2002/07/30
  15, Djibril SOW                      MF,  b. 1997/02/06
  20, Michel AEBISCHER                 MF,  b. 1997/01/06
  22, Fabian RIEDER                    MF,  b. 2002/02/16

   7, Breel EMBOLO                     FW,  b. 1997/02/14
  11, Dan NDOYE                        FW,  b. 2000/10/25
  16, Christian FASSNACHT              FW,  b. 1993/11/11
  17, Rubén VARGAS                     FW,  b. 1998/08/05
  19, Noah OKAFOR                      FW,  b. 2000/05/24
  23, Zeki AMDOUNI                     FW,  b. 2000/12/04
  26, Cedric ITTEN                     FW,  b. 1996/12/27


== Brazil     # 26 Players

   1, ALISSON                          GK,  b. 1992/10/02
  12, WEVERTON                         GK,  b. 1987/12/13
  23, Ederson MORAES                   GK,  b. 1993/08/17

   3, Gabriel MAGALHÃES                DF,  b. 1997/12/19
   4, MARQUINHOS                       DF,  b. 1994/05/14
   6, ALEX SANDRO                      DF,  b. 1991/01/26
  13, DANILO LUIZ                      DF,  b. 1991/07/15
  14, BREMER                           DF,  b. 1997/03/18
  15, Léo PEREIRA                      DF,  b. 1996/01/31
  16, Douglas SANTOS                   DF,  b. 1994/03/22
  24, Roger IBAÑEZ                     DF,  b. 1998/11/23

   2, Éderson SILVA                    MF,  b. 1999/07/07
   5, CASEMIRO                         MF,  b. 1992/02/23
   8, Bruno GUIMARÃES                  MF,  b. 1997/11/16
  17, FABINHO                          MF,  b. 1993/10/23
  18, Danilo SANTOS                    MF,  b. 2001/04/29
  20, Lucas PAQUETÁ                    MF,  b. 1997/08/27

   7, VINÍCIUS JÚNIOR                  FW,  b. 2000/07/12
   9, Matheus CUNHA                    FW,  b. 1999/05/27
  10, NEYMAR                           FW,  b. 1992/02/05
  11, RAPHINHA                         FW,  b. 1996/12/14
  19, ENDRICK                          FW,  b. 2006/07/21
  21, LUIZ HENRIQUE                    FW,  b. 2001/01/02
  22, Gabriel MARTINELLI               FW,  b. 2001/06/18
  25, IGOR THIAGO                      FW,  b. 2001/06/26
  26, RAYAN                            FW,  b. 2006/08/03


== Haiti     # 26 Players

   1, Johny PLACIDE                    GK,  b. 1988/01/29
  12, Alexandre PIERRE                 GK,  b. 2001/02/25
  23, Josué DUVERGER                   GK,  b. 2000/04/27

   2, Carlens ARCUS                    DF,  b. 1996/06/28
   3, Keeto THERMONCY                  DF,  b. 2006/03/29
   4, Ricardo ADÉ                      DF,  b. 1990/05/21
   5, Hannes DELCROIX                  DF,  b. 1999/02/28
   8, Martin EXPÉRIENCE                DF,  b. 1999/03/09
  13, Duke LACROIX                     DF,  b. 1993/10/14
  22, Jean-Kévin DUVERNE               DF,  b. 1997/07/12
  24, Wilguens PAUGAIN                 DF,  b. 2001/08/24

   6, Carl SAINTÉ                      MF,  b. 2002/08/09
  10, Jean-Ricner BELLEGARDE           MF,  b. 1998/06/27
  14, Leverton PIERRE                  MF,  b. 1998/03/09
  17, Danley JEAN JACQUES              MF,  b. 2000/05/20
  25, Dominique SIMON                  MF,  b. 2000/07/29
  26, Woodensky PIERRE                 MF,  b. 2004/12/30

   7, Derrick Etienne JR.              FW,  b. 1996/11/25
   9, Duckens NAZON                    FW,  b. 1994/04/07
  11, Louicius DEEDSON                 FW,  b. 2001/02/11
  15, Ruben PROVIDENCE                 FW,  b. 2001/07/07
  16, Lenny JOSEPH                     FW,  b. 2000/10/12
  18, Wilson ISIDOR                    FW,  b. 2000/08/27
  19, Yassin FORTUNÉ                   FW,  b. 1999/01/30
  20, Frantzdy PIERROT                 FW,  b. 1995/03/29
  21, Josué CASIMIR                    FW,  b. 2001/09/24


== Morocco     # 26 Players

   1, Yassine BOUNOU                   GK,  b. 1991/04/05
  12, Munir MOHAMEDI                   GK,  b. 1989/05/10
  22, Ahmed Reda TAGNAOUTI             GK,  b. 1996/04/05

   2, Achraf HAKIMI                    DF,  b. 1998/11/04
   3, Noussair MAZRAOUI                DF,  b. 1997/11/14
   5, Nayef AGUERD                     DF,  b. 1996/03/30
  13, Zakaria El OUAHDI                DF,  b. 2001/12/31
  14, Issa DIOP                        DF,  b. 1997/01/09
  18, Chadi RIAD                       DF,  b. 2003/06/17
  19, Youssef BELAMMARI                DF,  b. 1998/09/20
  25, Redouane HALHAL                  DF,  b. 2003/03/05
  26, Anass SALAH-EDDINE               DF,  b. 2002/01/18

   4, Sofyan AMRABAT                   MF,  b. 1996/08/21
   6, Ayyoub BOUADDI                   MF,  b. 2007/10/02
   7, Chemsdine TALBI                  MF,  b. 2005/05/09
   8, Azzedine OUNAHI                  MF,  b. 2000/04/19
  11, Ismael SAIBARI                   MF,  b. 2001/01/28
  15, Samir El MOURABET                MF,  b. 2005/10/06
  16, Gessime YASSINE                  MF,  b. 2005/11/22
  23, Bilal El KHANNOUSS               MF,  b. 2004/05/10
  24, Neil El AYNAOUI                  MF,  b. 2001/07/02

   9, Soufiane RAHIMI                  FW,  b. 1996/06/02
  10, Brahim DÍAZ                      FW,  b. 1999/08/03
  17, Abde EZZALZOULI                  FW,  b. 2001/12/17
  20, Ayoub El KAABI                   FW,  b. 1993/06/25
  21, Ayoube AMAIMOUNI                 FW,  b. 2004/11/30


== Scotland     # 26 Players

   1, Angus GUNN                       GK,  b. 1996/01/22
  12, Liam KELLY                       GK,  b. 1996/01/23
  21, Craig GORDON                     GK,  b. 1982/12/31

   2, Aaron HICKEY                     DF,  b. 2002/06/10
   3, Andy ROBERTSON                   DF,  b. 1994/03/11
   5, Grant HANLEY                     DF,  b. 1991/11/20
   6, Kieran TIERNEY                   DF,  b. 1997/06/05
  13, Jack HENDRY                      DF,  b. 1995/05/07
  15, John SOUTTAR                     DF,  b. 1996/09/25
  16, Dominic HYAM                     DF,  b. 1995/12/20
  22, Nathan PATTERSON                 DF,  b. 2001/10/16
  24, Anthony RALSTON                  DF,  b. 1998/11/16
  26, Scott MCKENNA                    DF,  b. 1996/11/12

   4, Scott MCTOMINAY                  MF,  b. 1996/12/08
   7, John MCGINN                      MF,  b. 1994/10/18
   8, Tyler FLETCHER                   MF,  b. 2007/03/19
  11, Ryan CHRISTIE                    MF,  b. 1995/02/22
  19, Lewis FERGUSON                   MF,  b. 1999/08/24
  23, Kenny MCLEAN                     MF,  b. 1992/01/08

   9, Lyndon DYKES                     FW,  b. 1995/10/07
  10, Ché ADAMS                        FW,  b. 1996/07/13
  14, Ross STEWART                     FW,  b. 1996/07/11
  17, Ben GANNON-DOAK                  FW,  b. 2005/11/11
  18, George HIRST                     FW,  b. 1999/02/15
  20, Lawrence SHANKLAND               FW,  b. 1995/08/10
  25, Findlay CURTIS                   FW,  b. 2006/06/09


== Australia     # 26 Players

   1, Mathew RYAN                      GK,  b. 1992/04/08
  12, Paul IZZO                        GK,  b. 1995/01/06
  18, Patrick BEACH                    GK,  b. 2003/08/06

   2, Miloš DEGENEK                    DF,  b. 1994/04/28
   3, Alessandro CIRCATI               DF,  b. 2003/10/10
   4, Jacob ITALIANO                   DF,  b. 2001/07/30
   5, Jordan BOS                       DF,  b. 2002/10/29
   6, Jason GERIA                      DF,  b. 1993/05/10
  15, Kai TREWIN                       DF,  b. 2001/05/18
  16, Aziz BEHICH                      DF,  b. 1990/12/16
  19, Harry SOUTTAR                    DF,  b. 1998/10/22
  21, Cameron BURGESS                  DF,  b. 1995/10/21
  25, Lucas HERRINGTON                 DF,  b. 2007/09/05

   8, Connor METCALFE                  MF,  b. 1999/11/05
  13, Aiden O'NEILL                    MF,  b. 1998/07/04
  14, Cammy DEVLIN                     MF,  b. 1998/06/07
  22, Jackson IRVINE                   MF,  b. 1993/03/07
  24, Paul OKON-ENGSTLER               MF,  b. 2005/01/24

   7, Mathew LECKIE                    FW,  b. 1991/02/04
   9, Mohamed TOURÉ                    FW,  b. 2004/03/26
  10, Ajdin HRUSTIC                    FW,  b. 1996/07/05
  11, Awer MABIL                       FW,  b. 1995/09/15
  17, Nestory IRANKUNDA                FW,  b. 2006/02/09
  20, Cristian VOLPATO                 FW,  b. 2003/11/15
  23, Nishan VELUPILLAY                FW,  b. 2001/05/07
  26, Tete YENGI                       FW,  b. 2000/11/28


== Paraguay     # 26 Players

   1, Gatito FERNÁNDEZ                 GK,  b. 1988/03/29
  12, Orlando GILL                     GK,  b. 2000/06/11
  22, Gastón OLVEIRA                   GK,  b. 1993/04/21

   2, Gustavo VELÁZQUEZ                DF,  b. 1991/04/17
   3, Omar ALDERETE                    DF,  b. 1996/12/26
   4, Juan José CÁCERES                DF,  b. 2000/06/01
   5, Fabián BALBUENA                  DF,  b. 1991/08/23
   6, Júnior ALONSO                    DF,  b. 1993/02/09
  13, José CANALE                      DF,  b. 1996/07/20
  15, Gustavo GÓMEZ                    DF,  b. 1993/05/06
  26, Alexandro MAIDANA                DF,  b. 2005/07/26

   7, Ramón SOSA                       MF,  b. 1999/08/31
   8, Diego GÓMEZ                      MF,  b. 2003/03/27
  10, Miguel ALMIRÓN                   MF,  b. 1994/02/10
  11, MAURÍCIO                         MF,  b. 2001/06/22
  14, Andrés CUBAS                     MF,  b. 1996/05/11
  16, Damián BOBADILLA                 MF,  b. 2001/07/11
  20, Braian OJEDA                     MF,  b. 2000/06/27
  23, Matías GALARZA                   MF,  b. 2002/02/11
  24, Gustavo CABALLERO                MF,  b. 2001/09/21

   9, Antonio SANABRIA                 FW,  b. 1996/03/04
  17, KAKU                             FW,  b. 1995/01/11
  18, Álex ARCE                        FW,  b. 1995/06/16
  19, Julio ENCISO                     FW,  b. 2004/01/23
  21, Gabriel ÁVALOS                   FW,  b. 1990/10/12
  25, Isidro PITTA                     FW,  b. 1999/08/14


== Turkey     # 26 Players

   1, Mert GÜNOK                       GK,  b. 1989/03/01
  12, Altay BAYINDIR                   GK,  b. 1998/04/14
  23, Uğurcan ÇAKIR                    GK,  b. 1996/04/05

   2, Zeki ÇELIK                       DF,  b. 1997/02/17
   3, Merih DEMIRAL                    DF,  b. 1998/03/05
   4, Çağlar SÖYÜNCÜ                   DF,  b. 1996/05/23
  13, Eren ELMALI                      DF,  b. 2000/07/07
  14, Abdülkerim BARDAKCI              DF,  b. 1994/09/07
  15, Ozan KABAK                       DF,  b. 2000/03/25
  18, Mert MÜLDÜR                      DF,  b. 1999/04/03
  20, Ferdi KADIOĞLU                   DF,  b. 1999/10/07
  25, Samet AKAYDIN                    DF,  b. 1994/03/13

   5, Salih ÖZCAN                      MF,  b. 1998/01/11
   6, Orkun KÖKÇÜ                      MF,  b. 2000/12/29
  10, Hakan ÇALHANOĞLU                 MF,  b. 1994/02/08
  16, İsmail YÜKSEK                    MF,  b. 1999/01/26
  22, Kaan AYHAN                       MF,  b. 1994/11/10

   7, Kerem AKTÜRKOĞLU                 FW,  b. 1998/10/21
   8, Arda GÜLER                       FW,  b. 2005/02/25
   9, Deniz GÜL                        FW,  b. 2004/07/02
  11, Kenan YILDIZ                     FW,  b. 2005/05/04
  17, İrfan Can KAHVECI                FW,  b. 1995/07/15
  19, Yunus AKGÜN                      FW,  b. 2000/07/07
  21, Barış Alper YILMAZ               FW,  b. 2000/05/23
  24, Oğuz AYDIN                       FW,  b. 2000/10/27
  26, Can UZUN                         FW,  b. 2005/11/11


== United States     # 26 Players

   1, Matt TURNER                      GK,  b. 1994/06/24
  24, Matt FREESE                      GK,  b. 1998/09/02
  25, Chris BRADY                      GK,  b. 2004/03/03

   2, Sergiño DEST                     DF,  b. 2000/11/03
   3, Chris RICHARDS                   DF,  b. 2000/03/28
   5, Antonee ROBINSON                 DF,  b. 1997/08/08
   6, Auston TRUSTY                    DF,  b. 1998/08/12
  12, Miles ROBINSON                   DF,  b. 1997/03/14
  13, Tim REAM                         DF,  b. 1987/10/05
  16, Alex FREEMAN                     DF,  b. 2004/08/09
  18, Max ARFSTEN                      DF,  b. 2001/04/19
  22, Mark MCKENZIE                    DF,  b. 1999/02/25
  23, Joe SCALLY                       DF,  b. 2002/12/31

   4, Tyler ADAMS                      MF,  b. 1999/02/14
   7, Giovanni REYNA                   MF,  b. 2002/11/13
   8, Weston MCKENNIE                  MF,  b. 1998/08/28
  14, Sebastian BERHALTER              MF,  b. 2001/05/10
  15, Cristian ROLDAN                  MF,  b. 1995/06/03
  17, Malik TILLMAN                    MF,  b. 2002/05/28

   9, Ricardo PEPI                     FW,  b. 2003/01/09
  10, Christian PULISIC                FW,  b. 1998/09/18
  11, Brenden AARONSON                 FW,  b. 2000/10/22
  19, Haji WRIGHT                      FW,  b. 1998/03/27
  20, Folarin BALOGUN                  FW,  b. 2001/07/03
  21, Timothy WEAH                     FW,  b. 2000/02/22
  26, Alejandro ZENDEJAS               FW,  b. 1998/02/07


== Curaçao     # 26 Players

   1, Eloy ROOM                        GK,  b. 1989/02/06
  25, Tyrick BODAK                     GK,  b. 2002/05/15
  26, Trevor DOORNBUSCH                GK,  b. 1999/07/06

   2, Shurandy SAMBO                   DF,  b. 2001/08/19
   3, Juriën GAARI                     DF,  b. 1993/12/23
   4, Roshon van EIJMA                 DF,  b. 1998/06/09
   5, Sherel FLORANUS                  DF,  b. 1998/08/23
  18, Armando OBISPO                   DF,  b. 1999/03/05
  20, Joshua BRENET                    DF,  b. 1994/03/20
  23, Riechedly BAZOER                 DF,  b. 1996/10/12
  24, Deveron FONVILLE                 DF,  b. 2003/05/16

   6, Godfried ROEMERATOE              MF,  b. 1999/08/19
   7, Juninho BACUNA                   MF,  b. 1997/08/07
   8, Livano COMENENCIA                MF,  b. 2004/02/03
  10, Leandro BACUNA                   MF,  b. 1991/08/21
  15, Ar'jany MARTHA                   MF,  b. 2003/09/04
  21, Tahith CHONG                     MF,  b. 1999/12/04
  22, Kevin FELIDA                     MF,  b. 1999/11/11

   9, Jürgen LOCADIA                   FW,  b. 1993/11/07
  11, Jeremy ANTONISSE                 FW,  b. 2002/03/29
  12, Sontje HANSEN                    FW,  b. 2002/05/18
  13, Tyrese NOSLIN                    FW,  b. 2002/09/11
  14, Kenji GORRÉ                      FW,  b. 1994/09/29
  16, Jearl MARGARITHA                 FW,  b. 2000/04/10
  17, Brandley KUWAS                   FW,  b. 1992/09/19
  19, Gervane KASTANEER                FW,  b. 1996/06/09


== Ecuador     # 26 Players

   1, Hernán GALÍNDEZ                  GK,  b. 1987/03/30
  12, Moisés RAMÍREZ                   GK,  b. 2000/09/09
  22, Gonzalo VALLE                    GK,  b. 1996/02/28

   2, Félix TORRES                     DF,  b. 1997/01/11
   3, Piero HINCAPIÉ                   DF,  b. 2002/01/09
   4, Joel ORDÓÑEZ                     DF,  b. 2004/04/21
   6, Willian PACHO                    DF,  b. 2001/10/16
   7, Pervis ESTUPIÑÁN                 DF,  b. 1998/01/21
  17, Ángelo PRECIADO                  DF,  b. 1998/02/18
  25, Jackson POROZO                   DF,  b. 2000/08/04
  26, Yaimar MEDINA                    DF,  b. 2004/11/05

   5, Jordy ALCÍVAR                    MF,  b. 1999/08/05
   8, Anthony VALENCIA                 MF,  b. 2003/07/21
  10, Kendry PÁEZ                      MF,  b. 2007/05/04
  14, Alan MINDA                       MF,  b. 2003/05/14
  15, Pedro VITE                       MF,  b. 2002/03/09
  18, Denil CASTILLO                   MF,  b. 2004/03/24
  21, Alan FRANCO                      MF,  b. 1998/08/21
  23, Moisés CAICEDO                   MF,  b. 2001/11/02

   9, John YEBOAH                      FW,  b. 2000/06/23
  11, Kevin RODRÍGUEZ                  FW,  b. 2000/03/04
  13, Enner VALENCIA                   FW,  b. 1989/11/04
  16, Jordy CAICEDO                    FW,  b. 1997/11/18
  19, Gonzalo PLATA                    FW,  b. 2000/11/01
  20, Nilson ANGULO                    FW,  b. 2003/06/19
  24, Jeremy ARÉVALO                   FW,  b. 2005/03/19


== Germany     # 26 Players

   1, Manuel NEUER                     GK,  b. 1986/03/27
